product_id,category,style,color,price_tier,price,season,in_stock
1,Shirts,Vintage,Blue,Budget,19,Winter,True
2,Shirts,Bohemian,Gray,Budget,15,Spring,True
3,Pants,Minimalist,Gray,Budget,25,All-season,True
4,Dresses,Minimalist,Blue,Premium,116,All-season,True
5,Pants,Minimalist,Black,Budget,11,Summer,True
6,Accessories,Bohemian,Black,Budget,25,Fall,True
7,Jackets,Bohemian,Gray,Premium,133,Summer,True
8,Dresses,Casual,Gray,Mid-range,71,Fall,True
9,Shoes,Vintage,Yellow,Budget,16,Spring,True
10,Shoes,Bohemian,Green,Budget,27,Fall,True
11,Pants,Formal,Yellow,Mid-range,32,All-season,True
12,Dresses,Vintage,Red,Mid-range,57,Winter,True
13,Pants,Sporty,Red,Mid-range,55,Spring,False
14,Shirts,Bohemian,Purple,Mid-range,41,Winter,True
15,Pants,Sporty,Red,Mid-range,70,Winter,True
16,Shoes,Vintage,Pink,Budget,18,Winter,True
17,Dresses,Casual,Brown,Mid-range,63,All-season,True
18,Dresses,Minimalist,White,Mid-range,41,All-season,True
19,Accessories,Sporty,Green,Premium,129,Winter,True
20,Accessories,Bohemian,Gray,Mid-range,69,Summer,True
21,Accessories,Formal,Brown,Mid-range,51,All-season,True
22,Jackets,Minimalist,Yellow,Premium,159,Fall,True
23,Pants,Vintage,White,Mid-range,47,Fall,True
24,Dresses,Casual,Gray,Premium,170,Winter,True
25,Shoes,Casual,Green,Budget,28,All-season,True
26,Jackets,Bohemian,Red,Premium,190,All-season,True
27,Accessories,Formal,White,Budget,13,Fall,True
28,Accessories,Casual,Gray,Premium,123,All-season,True
29,Pants,Bohemian,Black,Mid-range,76,Winter,True
30,Pants,Sporty,Green,Premium,122,Winter,True
31,Shirts,Sporty,Yellow,Budget,18,All-season,True
32,Dresses,Casual,Brown,Premium,168,Winter,True
33,Accessories,Bohemian,Red,Mid-range,67,Spring,True
34,Shoes,Minimalist,Blue,Budget,29,Spring,True
35,Dresses,Formal,White,Budget,12,Fall,True
36,Accessories,Vintage,Pink,Premium,173,Winter,True
37,Jackets,Bohemian,Brown,Mid-range,75,All-season,True
38,Dresses,Vintage,Red,Budget,25,Fall,True
39,Dresses,Bohemian,Purple,Premium,148,All-season,True
40,Accessories,Bohemian,Gray,Budget,29,All-season,True
41,Jackets,Minimalist,Black,Budget,21,Fall,True
42,Jackets,Formal,Red,Premium,87,Fall,True
43,Dresses,Bohemian,Red,Budget,24,Fall,True
44,Dresses,Vintage,Green,Budget,25,Spring,True
45,Shoes,Vintage,Green,Budget,17,Winter,True
46,Dresses,Sporty,Red,Mid-range,56,All-season,True
47,Jackets,Casual,Gray,Budget,23,Spring,True
48,Shoes,Casual,White,Mid-range,53,Spring,True
49,Accessories,Casual,Purple,Budget,12,Spring,True
50,Accessories,Bohemian,Purple,Budget,23,Fall,False
51,Accessories,Vintage,Blue,Budget,10,Winter,True
52,Jackets,Sporty,Purple,Mid-range,59,Summer,True
53,Pants,Bohemian,Pink,Premium,165,All-season,True
54,Shirts,Sporty,Green,Budget,14,Spring,True
55,Jackets,Sporty,Red,Mid-range,46,All-season,False
56,Dresses,Casual,Red,Budget,10,Spring,True
57,Jackets,Vintage,Yellow,Premium,197,All-season,True
58,Shoes,Bohemian,Black,Mid-range,51,All-season,False
59,Dresses,Formal,Purple,Premium,118,All-season,True
60,Accessories,Casual,Green,Premium,99,All-season,True
61,Jackets,Minimalist,Pink,Budget,15,Summer,True
62,Shirts,Vintage,Red,Budget,17,Spring,False
63,Accessories,Vintage,Black,Mid-range,66,Spring,True
64,Jackets,Bohemian,Red,Premium,113,Winter,True
65,Jackets,Bohemian,Yellow,Premium,186,Winter,True
66,Jackets,Minimalist,Pink,Budget,21,All-season,True
67,Shoes,Casual,Green,Budget,19,Winter,True
68,Pants,Sporty,Pink,Premium,132,Winter,True
69,Accessories,Casual,Purple,Mid-range,72,All-season,False
70,Accessories,Bohemian,Brown,Premium,120,Winter,True
71,Shoes,Vintage,White,Budget,20,All-season,True
72,Accessories,Casual,Red,Budget,27,Fall,True
73,Jackets,Casual,Black,Mid-range,52,Summer,True
74,Accessories,Vintage,Blue,Budget,15,Winter,True
75,Accessories,Vintage,Green,Budget,26,Spring,True
76,Pants,Bohemian,Gray,Premium,89,Winter,True
77,Shoes,Vintage,Brown,Mid-range,39,Winter,True
78,Accessories,Bohemian,Black,Mid-range,48,Winter,True
79,Accessories,Minimalist,Green,Budget,20,Winter,True
80,Dresses,Formal,Red,Premium,175,All-season,True
81,Pants,Vintage,Yellow,Mid-range,51,All-season,True
82,Accessories,Minimalist,Blue,Premium,146,Fall,True
83,Dresses,Formal,Purple,Mid-range,66,Winter,True
84,Shirts,Casual,White,Budget,25,Spring,True
85,Jackets,Bohemian,Blue,Premium,123,Summer,True
86,Accessories,Sporty,Red,Budget,25,Summer,True
87,Dresses,Vintage,Yellow,Budget,29,Fall,True
88,Pants,Vintage,Yellow,Budget,27,Fall,False
89,Pants,Sporty,Pink,Budget,16,Summer,True
90,Shirts,Sporty,Blue,Budget,29,All-season,True
91,Dresses,Casual,Yellow,Mid-range,48,Winter,True
92,Accessories,Formal,Black,Mid-range,69,Spring,True
93,Dresses,Sporty,Gray,Budget,12,Winter,False
94,Jackets,Vintage,Black,Premium,89,Spring,True
95,Jackets,Bohemian,Yellow,Budget,17,All-season,True
96,Jackets,Formal,Gray,Premium,178,Summer,True
97,Shirts,Sporty,Green,Premium,115,Spring,True
98,Pants,Sporty,Black,Premium,123,Winter,True
99,Shirts,Sporty,Purple,Budget,20,All-season,True
100,Pants,Sporty,Purple,Budget,23,Winter,True
101,Dresses,Bohemian,Green,Budget,12,Summer,True
102,Jackets,Casual,Red,Mid-range,34,Fall,False
103,Dresses,Formal,Green,Budget,26,Winter,False
104,Pants,Vintage,Red,Budget,25,All-season,True
105,Shirts,Sporty,Gray,Mid-range,50,Spring,True
106,Accessories,Minimalist,Brown,Budget,16,Fall,True
107,Jackets,Minimalist,Green,Budget,14,Spring,True
108,Shoes,Sporty,Gray,Premium,195,Summer,True
109,Accessories,Vintage,Purple,Budget,19,Fall,True
110,Dresses,Formal,Green,Premium,111,Summer,True
111,Jackets,Sporty,Purple,Budget,24,Summer,True
112,Accessories,Bohemian,Blue,Mid-range,35,Winter,True
113,Shoes,Minimalist,Purple,Premium,197,All-season,True
114,Pants,Sporty,Pink,Mid-range,56,Winter,True
115,Jackets,Sporty,Green,Mid-range,36,Fall,True
116,Shoes,Minimalist,Purple,Budget,15,Summer,True
117,Accessories,Bohemian,Yellow,Premium,132,Fall,True
118,Dresses,Minimalist,White,Premium,182,All-season,True
119,Shoes,Bohemian,Black,Budget,22,Summer,True
120,Accessories,Casual,White,Budget,27,All-season,False
121,Pants,Minimalist,Brown,Mid-range,39,All-season,True
122,Accessories,Casual,Brown,Premium,157,All-season,True
123,Jackets,Minimalist,Brown,Mid-range,55,Winter,True
124,Shoes,Bohemian,Purple,Mid-range,58,Summer,False
125,Accessories,Sporty,White,Budget,20,Summer,True
126,Dresses,Formal,Black,Premium,168,Spring,False
127,Jackets,Formal,Purple,Mid-range,73,Spring,True
128,Jackets,Minimalist,White,Budget,21,Winter,True
129,Shirts,Minimalist,Black,Budget,21,Spring,True
130,Shoes,Vintage,Red,Mid-range,77,Fall,True
131,Accessories,Sporty,Brown,Budget,27,Summer,True
132,Shoes,Minimalist,Gray,Budget,26,Spring,False
133,Jackets,Casual,Blue,Budget,14,Spring,True
134,Shoes,Vintage,Black,Budget,23,Spring,True
135,Jackets,Vintage,Red,Mid-range,35,Summer,True
136,Accessories,Casual,White,Mid-range,65,Winter,True
137,Shoes,Minimalist,Pink,Budget,28,All-season,False
138,Jackets,Formal,Red,Budget,11,All-season,True
139,Pants,Formal,Yellow,Premium,129,Summer,True
140,Jackets,Vintage,Brown,Mid-range,54,Spring,True
141,Accessories,Casual,Pink,Budget,20,Spring,True
142,Shirts,Minimalist,Red,Budget,21,Winter,True
143,Accessories,Sporty,Brown,Mid-range,45,Summer,True
144,Jackets,Sporty,Blue,Premium,129,All-season,True
145,Shirts,Bohemian,Blue,Mid-range,33,Winter,True
146,Jackets,Bohemian,Green,Mid-range,69,All-season,True
147,Accessories,Formal,Black,Mid-range,63,Spring,True
148,Shirts,Sporty,Brown,Mid-range,52,Spring,True
149,Shoes,Casual,Brown,Mid-range,30,All-season,True
150,Shoes,Vintage,Yellow,Premium,189,Fall,True
151,Dresses,Vintage,Blue,Budget,13,Winter,True
152,Dresses,Casual,White,Mid-range,67,All-season,True
153,Jackets,Formal,Gray,Budget,18,All-season,True
154,Accessories,Formal,Yellow,Premium,92,Winter,True
155,Shoes,Bohemian,Yellow,Mid-range,77,Winter,True
156,Shoes,Formal,Green,Mid-range,65,Summer,True
157,Pants,Vintage,White,Premium,119,Spring,True
158,Shoes,Minimalist,Pink,Mid-range,44,All-season,True
159,Jackets,Minimalist,White,Budget,21,Fall,True
160,Pants,Casual,Green,Budget,28,Summer,True
161,Shirts,Casual,Pink,Mid-range,74,Summer,True
162,Pants,Bohemian,Green,Mid-range,34,Winter,True
163,Accessories,Sporty,White,Budget,19,All-season,True
164,Jackets,Casual,Pink,Mid-range,63,Winter,True
165,Pants,Minimalist,White,Premium,188,Spring,True
166,Shirts,Bohemian,Pink,Mid-range,41,Fall,True
167,Dresses,Minimalist,Blue,Mid-range,73,Summer,True
168,Shoes,Casual,Pink,Premium,144,All-season,True
169,Dresses,Formal,Purple,Premium,160,Spring,True
170,Jackets,Minimalist,Red,Budget,10,Fall,True
171,Pants,Bohemian,White,Premium,153,Summer,True
172,Pants,Formal,Green,Mid-range,32,Spring,True
173,Pants,Formal,Pink,Mid-range,73,Summer,True
174,Shirts,Sporty,Gray,Budget,26,Winter,True
175,Shirts,Minimalist,White,Premium,157,Spring,False
176,Accessories,Formal,Black,Mid-range,37,Spring,True
177,Jackets,Minimalist,Green,Budget,20,Spring,True
178,Dresses,Bohemian,Gray,Mid-range,77,All-season,True
179,Shirts,Casual,Brown,Budget,26,Summer,True
180,Dresses,Bohemian,Green,Budget,10,Spring,True
181,Jackets,Sporty,Red,Premium,85,Fall,True
182,Shoes,Sporty,Blue,Mid-range,39,Winter,True
183,Shoes,Vintage,Black,Budget,27,Fall,True
184,Dresses,Vintage,Yellow,Premium,184,Spring,True
185,Dresses,Vintage,Yellow,Mid-range,48,All-season,True
186,Pants,Vintage,Red,Mid-range,65,Fall,False
187,Jackets,Vintage,Yellow,Mid-range,56,Spring,True
188,Dresses,Vintage,Red,Premium,127,Fall,True
189,Dresses,Minimalist,Red,Budget,21,Summer,True
190,Dresses,Minimalist,Green,Budget,23,All-season,True
191,Shirts,Vintage,Purple,Mid-range,52,Winter,True
192,Shoes,Vintage,Gray,Budget,28,Fall,True
193,Shoes,Sporty,Pink,Mid-range,32,Summer,True
194,Shirts,Vintage,Green,Premium,93,Summer,True
195,Accessories,Minimalist,Green,Premium,83,Winter,True
196,Shirts,Sporty,Yellow,Premium,179,All-season,True
197,Shirts,Formal,Brown,Mid-range,43,Winter,True
198,Pants,Sporty,White,Mid-range,75,Summer,True
199,Shoes,Casual,Green,Premium,181,Fall,False
200,Jackets,Casual,Red,Mid-range,50,Fall,True
201,Accessories,Minimalist,Gray,Mid-range,51,Spring,True
202,Jackets,Bohemian,Yellow,Mid-range,30,Spring,False
203,Accessories,Vintage,Purple,Mid-range,37,Fall,True
204,Jackets,Formal,Yellow,Mid-range,34,Summer,True
205,Shoes,Casual,Yellow,Premium,129,Spring,True
206,Accessories,Casual,Green,Budget,15,Summer,True
207,Dresses,Sporty,Purple,Mid-range,54,Spring,True
208,Pants,Vintage,Red,Premium,136,All-season,True
209,Dresses,Vintage,Gray,Budget,10,Summer,True
210,Pants,Casual,Yellow,Premium,128,Summer,True
211,Dresses,Casual,Yellow,Mid-range,53,Winter,True
212,Pants,Formal,Green,Mid-range,61,Winter,True
213,Pants,Bohemian,Purple,Mid-range,41,Fall,True
214,Dresses,Formal,Red,Budget,28,Fall,False
215,Shirts,Formal,Pink,Premium,151,Fall,True
216,Pants,Bohemian,Green,Mid-range,60,Spring,True
217,Shoes,Casual,Yellow,Mid-range,53,Fall,True
218,Dresses,Vintage,Black,Budget,26,Spring,True
219,Accessories,Minimalist,Brown,Mid-range,49,Spring,True
220,Accessories,Bohemian,Blue,Mid-range,59,All-season,True
221,Pants,Casual,Brown,Mid-range,50,Winter,True
222,Jackets,Formal,Green,Premium,182,Fall,True
223,Dresses,Minimalist,Black,Budget,14,Winter,True
224,Shoes,Minimalist,Yellow,Budget,23,Winter,True
225,Jackets,Casual,Gray,Budget,23,Winter,True
226,Shoes,Minimalist,Purple,Premium,139,Summer,True
227,Accessories,Vintage,Black,Premium,193,Summer,True
228,Jackets,Casual,Red,Mid-range,33,Spring,False
229,Dresses,Bohemian,Red,Budget,22,All-season,True
230,Shoes,Casual,Pink,Budget,20,All-season,False
231,Dresses,Casual,Brown,Budget,24,Fall,True
232,Pants,Casual,Blue,Budget,24,Spring,True
233,Jackets,Bohemian,Purple,Mid-range,49,All-season,True
234,Jackets,Vintage,Green,Mid-range,67,Summer,True
235,Shoes,Bohemian,Purple,Mid-range,47,Winter,True
236,Shoes,Minimalist,Pink,Budget,10,Fall,True
237,Dresses,Bohemian,White,Mid-range,46,All-season,True
238,Pants,Bohemian,White,Mid-range,71,All-season,True
239,Dresses,Minimalist,Green,Budget,22,Winter,False
240,Pants,Bohemian,Brown,Premium,166,Summer,False
241,Accessories,Bohemian,Blue,Budget,10,Fall,True
242,Shoes,Casual,Pink,Budget,28,Winter,True
243,Jackets,Sporty,White,Budget,14,Summer,True
244,Dresses,Casual,Blue,Budget,27,Summer,True
245,Shirts,Formal,Red,Mid-range,34,Summer,True
246,Jackets,Casual,Green,Mid-range,56,Winter,True
247,Pants,Formal,Red,Mid-range,44,Summer,True
248,Pants,Casual,Yellow,Budget,27,Spring,True
249,Dresses,Formal,Green,Mid-range,32,Spring,True
