product_id,category,style,color,price_tier,price,season,in_stock
250,Accessories,Formal,Gray,Premium,167,Fall,True
251,Shoes,Bohemian,Gray,Mid-range,35,Summer,True
252,Accessories,Minimalist,Gray,Budget,19,Fall,True
253,Shirts,Sporty,Pink,Mid-range,63,All-season,True
254,Pants,Sporty,Blue,Budget,16,Summer,True
255,Accessories,Bohemian,Pink,Budget,10,Summer,True
256,Shoes,Minimalist,Yellow,Budget,16,Winter,True
257,Dresses,Casual,Green,Budget,12,Fall,True
258,Shoes,Casual,Red,Budget,28,All-season,True
259,Pants,Vintage,Pink,Budget,14,Fall,False
260,Pants,Vintage,Purple,Budget,26,Summer,True
261,Shoes,Formal,Green,Mid-range,64,Spring,False
262,Accessories,Bohemian,Green,Budget,17,Winter,True
263,Pants,Bohemian,Purple,Mid-range,71,All-season,True
264,Pants,Vintage,White,Budget,18,Summer,True
265,Dresses,Casual,Purple,Budget,23,Summer,True
266,Dresses,Casual,Yellow,Mid-range,48,All-season,True
267,Dresses,Formal,Yellow,Budget,11,Winter,True
268,Jackets,Formal,Pink,Mid-range,33,Spring,False
269,Jackets,Bohemian,Blue,Mid-range,47,Fall,True
270,Shirts,Vintage,Blue,Budget,27,All-season,True
271,Dresses,Sporty,Red,Budget,10,Spring,True
272,Jackets,Sporty,Purple,Premium,93,Winter,True
273,Pants,Bohemian,White,Budget,26,Summer,True
274,Accessories,Minimalist,Green,Mid-range,36,Winter,True
275,Jackets,Minimalist,Gray,Mid-range,34,All-season,False
276,Shirts,Formal,Yellow,Budget,13,Winter,True
277,Jackets,Minimalist,Green,Mid-range,47,Fall,True
278,Dresses,Minimalist,Purple,Mid-range,41,Winter,True
279,Accessories,Formal,Yellow,Mid-range,42,Spring,False
280,Accessories,Formal,Red,Budget,21,Fall,True
281,Jackets,Vintage,Gray,Budget,26,Spring,True
282,Shirts,Vintage,Pink,Mid-range,70,Summer,True
283,Shoes,Bohemian,Red,Budget,17,Summer,True
284,Pants,Casual,Green,Mid-range,48,Summer,True
285,Jackets,Bohemian,Red,Budget,21,Spring,True
286,Accessories,Casual,White,Mid-range,65,All-season,True
287,Shirts,Casual,Brown,Budget,22,Summer,True
288,Shirts,Minimalist,Red,Mid-range,30,Winter,True
289,Dresses,Sporty,Black,Mid-range,59,Winter,True
290,Shirts,Sporty,Brown,Mid-range,36,Summer,True
291,Pants,Vintage,Brown,Budget,23,Summer,True
292,Dresses,Formal,Green,Mid-range,41,Spring,True
293,Jackets,Formal,Red,Mid-range,58,Summer,True
294,Shoes,Vintage,Red,Premium,137,Winter,True
295,Shirts,Formal,Purple,Budget,10,All-season,False
296,Accessories,Sporty,Black,Mid-range,70,Fall,True
297,Shoes,Sporty,Gray,Mid-range,41,Winter,True
298,Shirts,Casual,Pink,Mid-range,79,Winter,True
299,Shoes,Formal,Green,Mid-range,75,All-season,True
300,Accessories,Minimalist,Green,Premium,112,Spring,True
301,Pants,Minimalist,Pink,Budget,23,All-season,True
302,Accessories,Bohemian,Purple,Mid-range,47,Spring,True
303,Shoes,Formal,Pink,Budget,20,Spring,True
304,Shoes,Casual,Purple,Mid-range,51,All-season,True
305,Dresses,Bohemian,Gray,Budget,16,All-season,True
306,Pants,Vintage,White,Mid-range,45,All-season,True
307,Shirts,Formal,Brown,Budget,13,Spring,True
308,Dresses,Sporty,Green,Premium,111,Fall,True
309,Shoes,Sporty,Red,Budget,26,Fall,True
310,Pants,Formal,Yellow,Premium,94,Summer,True
311,Accessories,Bohemian,Black,Mid-range,56,Fall,True
312,Pants,Casual,Brown,Mid-range,65,Winter,True
313,Pants,Sporty,Pink,Budget,22,All-season,True
314,Jackets,Bohemian,Purple,Premium,92,Winter,True
315,Accessories,Sporty,Yellow,Premium,129,Summer,True
316,Shoes,Formal,Blue,Budget,29,Summer,True
317,Jackets,Vintage,Gray,Mid-range,52,All-season,True
318,Dresses,Bohemian,White,Mid-range,35,Summer,True
319,Shoes,Sporty,Green,Mid-range,68,Summer,True
320,Accessories,Formal,Gray,Premium,81,Spring,True
321,Jackets,Formal,Blue,Budget,28,Winter,True
322,Jackets,Minimalist,Pink,Premium,197,Fall,True
323,Shoes,Minimalist,Pink,Mid-range,59,Spring,True
324,Accessories,Minimalist,Black,Premium,103,Spring,False
325,Accessories,Bohemian,Purple,Mid-range,61,Winter,True
326,Shoes,Vintage,Blue,Premium,152,Spring,True
327,Jackets,Casual,Yellow,Mid-range,37,Fall,True
328,Dresses,Minimalist,Purple,Budget,23,Summer,True
329,Jackets,Formal,Brown,Budget,21,Fall,True
330,Shirts,Bohemian,Black,Premium,81,All-season,False
331,Pants,Sporty,Blue,Premium,176,Winter,True
332,Shoes,Bohemian,Black,Budget,12,Summer,True
333,Dresses,Vintage,Purple,Budget,16,Winter,True
334,Shirts,Bohemian,Red,Mid-range,66,Winter,True
335,Pants,Formal,Yellow,Mid-range,46,All-season,True
336,Jackets,Bohemian,White,Budget,24,All-season,True
337,Shoes,Sporty,Red,Mid-range,76,Fall,False
338,Pants,Minimalist,Yellow,Budget,28,Winter,True
339,Dresses,Casual,White,Mid-range,54,Winter,True
340,Shoes,Minimalist,Yellow,Mid-range,47,Winter,True
341,Shirts,Sporty,Brown,Premium,131,Spring,True
342,Shirts,Casual,Black,Budget,27,Winter,True
343,Accessories,Casual,Yellow,Mid-range,76,Winter,True
344,Dresses,Vintage,White,Budget,26,All-season,True
345,Dresses,Casual,White,Budget,27,Fall,True
346,Jackets,Vintage,White,Budget,16,Fall,True
347,Accessories,Minimalist,Purple,Premium,135,Spring,True
348,Pants,Casual,Pink,Mid-range,65,Winter,True
349,Shoes,Sporty,Purple,Budget,16,Summer,True
350,Accessories,Sporty,Red,Mid-range,79,Fall,True
351,Jackets,Sporty,Green,Premium,94,All-season,True
352,Jackets,Sporty,Green,Budget,25,Fall,False
353,Shirts,Vintage,Red,Premium,161,Winter,True
354,Shoes,Vintage,Purple,Budget,29,Spring,True
355,Shoes,Casual,White,Budget,18,Spring,True
356,Shoes,Vintage,Green,Mid-range,36,Summer,True
357,Shoes,Formal,Blue,Mid-range,39,Winter,True
358,Shoes,Sporty,Blue,Premium,115,Spring,True
359,Pants,Bohemian,Black,Budget,17,Winter,True
360,Dresses,Sporty,Green,Premium,106,Fall,True
361,Pants,Vintage,Blue,Budget,28,Summer,True
362,Jackets,Casual,Purple,Mid-range,68,All-season,True
363,Shirts,Minimalist,Purple,Premium,173,All-season,False
364,Accessories,Minimalist,Green,Budget,27,Summer,True
365,Accessories,Bohemian,Purple,Budget,11,Spring,True
366,Pants,Bohemian,Black,Budget,29,All-season,True
367,Dresses,Vintage,Blue,Mid-range,74,Winter,True
368,Pants,Casual,Brown,Budget,21,Summer,True
369,Jackets,Vintage,Red,Mid-range,54,Spring,True
370,Accessories,Vintage,Brown,Budget,27,All-season,True
371,Accessories,Sporty,Gray,Premium,88,Summer,True
372,Shoes,Minimalist,Pink,Budget,13,All-season,True
373,Shirts,Bohemian,Black,Premium,99,Fall,False
374,Accessories,Casual,Gray,Budget,19,Fall,False
375,Accessories,Casual,Gray,Mid-range,78,Summer,True
376,Shoes,Sporty,Gray,Premium,134,Spring,True
377,Shirts,Bohemian,Black,Budget,14,Winter,True
378,Shoes,Vintage,Yellow,Premium,91,Summer,True
379,Jackets,Casual,Yellow,Budget,24,Fall,True
380,Dresses,Minimalist,Yellow,Budget,23,Spring,False
381,Jackets,Bohemian,Gray,Mid-range,47,Spring,False
382,Shirts,Bohemian,Purple,Premium,103,Summer,True
383,Accessories,Casual,Pink,Mid-range,78,Spring,True
384,Jackets,Formal,Gray,Premium,158,Winter,True
385,Shoes,Sporty,Gray,Budget,11,Fall,True
386,Shirts,Formal,Yellow,Mid-range,52,Summer,True
387,Shoes,Casual,Gray,Premium,192,Summer,True
388,Shoes,Formal,Purple,Mid-range,31,Winter,True
389,Jackets,Vintage,Purple,Mid-range,54,Fall,True
390,Shoes,Formal,Purple,Budget,13,Fall,False
391,Shirts,Casual,Yellow,Mid-range,57,Winter,True
392,Jackets,Bohemian,Black,Mid-range,44,Winter,False
393,Dresses,Minimalist,White,Mid-range,55,Fall,True
394,Shirts,Vintage,Gray,Budget,18,Fall,True
395,Dresses,Minimalist,Green,Premium,139,Winter,True
396,Accessories,Casual,Green,Mid-range,37,Winter,True
397,Pants,Vintage,Brown,Budget,17,Spring,False
398,Shirts,Vintage,Black,Premium,174,Summer,True
399,Shoes,Vintage,White,Budget,18,Winter,False
400,Shirts,Sporty,Red,Premium,115,All-season,True
401,Pants,Sporty,Yellow,Budget,15,Fall,True
402,Shoes,Bohemian,Brown,Budget,29,Fall,True
403,Pants,Sporty,Green,Budget,22,Spring,True
404,Accessories,Formal,Yellow,Budget,16,Summer,True
405,Accessories,Formal,Yellow,Mid-range,35,Summer,True
406,Shoes,Vintage,Pink,Budget,23,Spring,True
407,Shoes,Formal,Pink,Budget,16,Spring,True
408,Pants,Formal,Yellow,Budget,18,All-season,True
409,Accessories,Bohemian,Green,Premium,118,Fall,True
410,Shirts,Vintage,White,Mid-range,76,Spring,True
411,Dresses,Minimalist,Gray,Budget,28,Fall,False
412,Shirts,Vintage,Black,Mid-range,58,Fall,True
413,Shirts,Vintage,Purple,Budget,19,Winter,True
414,Pants,Formal,Gray,Budget,26,Winter,True
415,Dresses,Minimalist,Gray,Mid-range,74,Fall,True
416,Jackets,Vintage,Yellow,Mid-range,52,Winter,True
417,Accessories,Casual,Pink,Mid-range,54,Summer,True
418,Accessories,Casual,Pink,Budget,14,Spring,True
419,Jackets,Bohemian,Gray,Premium,94,Fall,True
420,Dresses,Bohemian,White,Premium,141,Winter,True
421,Shoes,Bohemian,Yellow,Mid-range,67,Summer,True
422,Shoes,Sporty,Green,Budget,28,Summer,True
423,Accessories,Sporty,Yellow,Premium,191,Winter,True
424,Shirts,Casual,Gray,Mid-range,50,Spring,True
425,Accessories,Minimalist,Red,Mid-range,52,Fall,True
426,Jackets,Sporty,Pink,Budget,11,Spring,True
427,Pants,Sporty,Purple,Premium,137,All-season,False
428,Jackets,Casual,Yellow,Mid-range,31,Summer,True
429,Shoes,Formal,Purple,Budget,23,Fall,False
430,Shoes,Sporty,Yellow,Premium,112,Winter,False
431,Shirts,Formal,Black,Mid-range,66,Summer,True
432,Accessories,Minimalist,Blue,Premium,182,Winter,True
433,Dresses,Formal,Brown,Mid-range,42,Fall,True
434,Shoes,Sporty,Red,Budget,13,All-season,True
435,Shirts,Minimalist,Black,Premium,158,Summer,True
436,Shoes,Minimalist,Pink,Mid-range,48,Fall,False
437,Accessories,Vintage,Red,Budget,13,Winter,True
438,Shirts,Vintage,Red,Budget,17,Winter,False
439,Pants,Casual,Yellow,Mid-range,41,Summer,True
440,Accessories,Bohemian,White,Budget,18,Fall,True
441,Jackets,Vintage,Black,Mid-range,30,Spring,False
442,Jackets,Minimalist,White,Mid-range,41,Fall,True
443,Dresses,Bohemian,White,Budget,19,Spring,True
444,Accessories,Sporty,Red,Mid-range,53,Summer,True
445,Shoes,Formal,Gray,Budget,23,Summer,True
446,Dresses,Casual,Pink,Budget,18,Spring,True
447,Accessories,Casual,Red,Budget,17,Winter,True
448,Jackets,Sporty,Pink,Premium,149,Spring,True
449,Accessories,Minimalist,Black,Mid-range,51,Summer,True
450,Shirts,Bohemian,White,Budget,19,Summer,False
451,Shoes,Bohemian,Green,Budget,23,Spring,True
452,Jackets,Formal,Blue,Budget,16,All-season,True
453,Shoes,Formal,Blue,Mid-range,69,Summer,True
454,Dresses,Casual,Yellow,Budget,23,Spring,True
455,Pants,Minimalist,Gray,Budget,29,Summer,True
456,Pants,Bohemian,Purple,Mid-range,62,Winter,True
457,Accessories,Formal,Pink,Mid-range,54,Spring,True
458,Dresses,Sporty,Blue,Mid-range,42,Fall,True
459,Pants,Bohemian,Purple,Mid-range,73,Winter,True
460,Shirts,Bohemian,Brown,Budget,19,Summer,True
461,Accessories,Casual,Black,Mid-range,75,Fall,True
462,Shirts,Minimalist,Purple,Premium,184,All-season,True
463,Jackets,Casual,Black,Budget,15,Summer,True
464,Shirts,Minimalist,Green,Mid-range,41,Fall,True
465,Shoes,Bohemian,Red,Mid-range,71,Summer,True
466,Dresses,Casual,Brown,Mid-range,75,Spring,True
467,Accessories,Formal,Yellow,Mid-range,38,All-season,True
468,Dresses,Casual,Green,Budget,16,Winter,True
469,Shirts,Minimalist,Gray,Mid-range,61,Fall,False
470,Pants,Sporty,Blue,Budget,15,Fall,True
471,Accessories,Vintage,Gray,Budget,12,All-season,True
472,Dresses,Vintage,Green,Budget,29,Summer,True
473,Pants,Vintage,Red,Budget,18,Summer,True
474,Jackets,Casual,Brown,Budget,28,All-season,True
475,Accessories,Bohemian,White,Mid-range,43,Spring,True
476,Shoes,Minimalist,Green,Mid-range,37,Summer,True
477,Pants,Casual,Blue,Mid-range,51,Winter,True
478,Pants,Formal,White,Premium,110,Summer,True
479,Shoes,Bohemian,Purple,Mid-range,58,Fall,True
480,Shoes,Sporty,Blue,Mid-range,63,Spring,True
481,Shirts,Formal,Brown,Budget,27,All-season,True
482,Pants,Formal,White,Mid-range,46,Winter,True
483,Accessories,Bohemian,Blue,Mid-range,73,Fall,True
484,Jackets,Bohemian,Blue,Mid-range,64,Winter,True
485,Jackets,Vintage,Blue,Budget,13,Spring,True
486,Shoes,Formal,White,Premium,197,Winter,True
487,Shirts,Formal,White,Budget,28,Spring,True
488,Jackets,Sporty,Red,Mid-range,34,Spring,True
489,Accessories,Bohemian,Pink,Budget,23,Winter,True
490,Shoes,Formal,Blue,Budget,27,Summer,True
491,Pants,Sporty,White,Mid-range,47,Winter,True
492,Jackets,Casual,White,Premium,185,Spring,True
493,Dresses,Sporty,Red,Budget,17,Fall,True
494,Accessories,Formal,Green,Mid-range,77,Summer,True
495,Accessories,Formal,Green,Mid-range,40,Summer,False
496,Pants,Vintage,White,Budget,24,Fall,False
497,Jackets,Minimalist,Brown,Budget,20,Fall,True
498,Dresses,Bohemian,Gray,Mid-range,63,Winter,True
499,Accessories,Vintage,Green,Mid-range,40,Summer,False
500,Shoes,Sporty,Gray,Budget,26,Fall,True
